num,race,country,year,time,details
1,IUTA World Cup Race Double Ultra Triathlon Slovenia,Slovenia,2011,DNF,medical problems
2,IUTA World Cup Race Double Ultra Triathlon Slovenia,Slovenia,2012,DNF,medical problems
3,World Cup Race Double Ultra Triathlon Slovenia,Slovenia,2014,31:02:58,-
