num,race,year,country,time,details
1,28. Maraton treh src,2008,Slovenia,3:25:42,National champion in marathon(Junior category)
2,32. Maraton treh src,2012,Slovenia,3:01:09,-
3,20. Maratona di Roma,2014,Italy,3:57:19,-
4,Volkswagen 19. Ljubljanski maraton,2014,Slovenia,4:19:45,-
5,ING Night Marathon LUXEMBOURG,2015,Slovenia,3:23:46,-
6,mandiri JAKARTA marathon,2015,Indonesia,5:24:47,-
7,Treviso Marathon,2016,Italy,3:48:36,-
8,ING Night Marathon Luxembourg,2017,Luxembourg,4:46:02,-
