num,race,distance,country,year,time,details
1,8. SF ULTRA promo MARATHON ISTRA,53.8 km,Croatia,2013,5:24:18,-
2,3. Essence SF ULTRA MARATHON "DRAGA PARENZANA",64 km,Croatia,2014,7:52:12,-
