num,race,year,country,time,details
1,Kleine Zeitung Silvesterlauf GRAZ,2012,Austria,0:17:48,4. Place AG
2,WOCHE Silvesterlauf GRAZ,2014,Austria,0:18:29,4. Place AG
3,WOCHE Silvesterlauf GRAZ,2015,Austria,0:18:46,11. Place AG
4,WOCHE Silvesterlauf GRAZ,2016,Austria,0:19:03,6. Place AG
5,17. Ormoški polmaraton,2018,Slovenia,0:18:49,2. Place Overall
6,20. Ormoški polmaraton,2021,Slovenia,0:18.44,3. Place Overall
